Date,Description,Currency,Amount,Payment Method
2025-06-01,MERPAGO*AXIONENERGY,ARS,9272.03,BBVA VISA
2025-06-02,METROGAS SA DEB  040000136346,ARS,4508.02,BBVA VISA
2025-06-04,AA2000 PKG EZEIZA,ARS,10500.00,BBVA VISA
2025-06-04,EDENOR SA        000007691385963,ARS,10667.87,BBVA VISA
2025-06-04,NETFLIX.COM      4821908557765366,USD,8.53,BBVA VISA
2025-06-05,AUTOPISTAS URBAN 000000004488335,ARS,789.45,BBVA VISA
2025-06-06,SU PAGO EN PESOS,ARS,-1010605.89,BBVA VISA
2025-06-06,MERPAGO*MODAXPRESSBA,ARS,21274.69,BBVA VISA
2025-06-06,MERPAGO*ESCUELADAVINCI,ARS,264400.00,BBVA VISA
2025-06-06,PVS*THOMAS KITCHEN AND CO,ARS,5750.00,BBVA VISA
2025-06-06,MERPAGO*FARMACITY,ARS,32199.00,BBVA VISA
2025-06-07,MERPAGO*FARMACITY,ARS,24145.00,BBVA VISA
2025-06-07,MERPAGO*FARMACITY,ARS,2060.00,BBVA VISA
2025-06-08,POTTERY COFFEE  DELI-POT,ARS,17000.00,BBVA VISA
2025-06-13,PINCHOS-PINCHOS,ARS,17200.00,BBVA VISA
