Date,Description,Currency,Amount,Payment Method
2022-05-25,714057* MERCPAG*AGUA PUREZA Cuota 07/18,ARS,1696.38,Macro VISA
2022-05-26,003619* MERCADOPAGO*DINATECHSA Cuota 07/12,ARS,5758.25,Macro VISA
2022-07-04,448754* ON FIT Cuota 06/18,ARS,7290.00,Macro VISA
2022-08-08,412588* MERCADOPAGO*MERCADOL Cuota 05/06,ARS,4633.33,Macro VISA
2022-09-16,009216* WWW.E-FARMACITY.COM Cuota 04/06,ARS,865.00,Macro VISA
2022-10-01,000181* VITAL SUPERMAYORISTA Cuota 03/12,ARS,1999.00,Macro VISA
2022-11-04,004092* WWW.MOOVBYDEXTER.COM.AR Cuota 02/03,ARS,9997.66,Macro VISA
2022-11-04,005412* WWW.DEXTER.COM.AR Cuota 02/03,ARS,23664.33,Macro VISA
2022-11-24,AJUSTE P/DESCNTO. EN COMERCIO,ARS,-1200.00,Macro VISA
2022-11-24,278594K MERCADOPAGO*AXIONENERGY,ARS,1899.40,Macro VISA
2022-11-24,187312K MERCADO LIBR*PERSONAL,ARS,600.00,Macro VISA
2022-11-24,607909K MERCADO LIBR*PERSONAL,ARS,600.00,Macro VISA
2022-11-24,608559K MERCADO LIBR*PERSONAL,ARS,600.00,Macro VISA
2022-11-24,899379K MERCADO LIBR*MCDONALDS,ARS,7110.00,Macro VISA
2022-11-24,757626* MERCADO LIBR*ILGATTO,ARS,15700.00,Macro VISA
2022-11-25,489939* VEA SM 700,ARS,1390.48,Macro VISA
2022-11-25,002852* CARNICERIA EL CHINO 3503,ARS,15373.00,Macro VISA
2022-11-26,490032* VEA SM 700,ARS,2767.15,Macro VISA
2022-11-26,341750* Rebelde by Kentucky,ARS,7960.00,Macro VISA
2022-11-27,814137K MERCADO LIBR*THOMAS,ARS,2200.00,Macro VISA
2022-11-28,360317K MERCADO LIBR*SUPERDIA,ARS,405.60,Macro VISA
2022-11-28,369859K MERCADO LIBR*HELADOSCANN,ARS,1700.00,Macro VISA
2022-11-30,303982K MERCADO LIBR*OPEN25,ARS,490.00,Macro VISA
2022-12-01,587724K MERCADO LIBR*SUPERDIA,ARS,4002.30,Macro VISA
2022-12-01,000621* HERTZ ARGENTINA 3109,ARS,12712.79,Macro VISA
2022-12-01,032848* PERSONAL FLOW 000000058156976,ARS,3561.99,Macro VISA
2022-12-02,000001* EDENOR 000007691385963,ARS,599.47,Macro VISA
2022-12-02,344779* RAPANUI,ARS,1350.00,Macro VISA
2022-12-02,643070* AUTOSERVICIO ELIE,ARS,395.00,Macro VISA
2022-12-02,687477* HORMANN MONTARCE SA,ARS,5861.90,Macro VISA
2022-12-02,002294* HALABI ROBERTO ADOLF 8536,ARS,12550.00,Macro VISA
2022-12-03,313717* MATTONE,ARS,11760.00,Macro VISA
2022-12-03,008618* HORMANN MONTARCE SA,ARS,1191.00,Macro VISA
2022-12-03,008632* HORMANN MONTARCE SA,ARS,1166.98,Macro VISA
2022-12-03,008633* HORMANN MONTARCE SA,ARS,732.00,Macro VISA
2022-12-04,005585Q NETFLIX.COM 6865726284498327,ARS,1199.00,Macro VISA
2022-12-04,718898K MERCADO LIBR*FARMACIA,ARS,1640.00,Macro VISA
2022-12-04,077377* YPF PINAMAR,ARS,5199.60,Macro VISA
2022-12-04,395652* GRILLER,ARS,21450.00,Macro VISA
